@relation answerExp3
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@data
"HUM:ind" , "what" , "contemptible" , "scoundrel" 
"HUM:ind" , "name" , "the" , "bounty" 
"NUM:date" , "when" , "was" , "ozzy" 
"HUM:ind" , "who" , "was" , "the" 
"HUM:ind" , "who" , "killed" , "gandhi" 
"LOC:state" , "what" , "sprawling" , "state" 
"NUM:count" , "how" , "many" , "jews" 
"NUM:date" , "what" , "is" , "the" 
"HUM:ind" , "name" , "famous" , "martyrs" 
"HUM:ind" , "who" , "was" , "the" 
"LOC:other" , "what" , "is" , "the" 
"LOC:state" , "which" , "two" , "states" 
"NUM:count" , "how" , "many" , "points" 
"NUM:count" , "how" , "many" , "community" 
"NUM:date" , "when" , "did" , "the" 
"LOC:other" , "where" , "do" , "the" 
"NUM:count" , "how" , "many" , "people" 
"NUM:count" , "how" , "many" , "inches" 
"HUM:ind" , "what" , "cowboy" , "star" 
"LOC:country" , "what" , "country" , "do" 
"HUM:ind" , "who" , "was" , "the" 
"HUM:ind" , "who" , "is" , "snoopy" 
"LOC:state" , "what" , "state" , "lived" 
"LOC:other" , "where" , "is" , "the" 
"LOC:country" , "what" , "country" , "capital" 
"HUM:ind" , "who" , "do" , "herb" 
"LOC:city" , "which" , "city" , "has" 
"LOC:other" , "what" , "are" , "the" 
"LOC:other" , "what" , "body" , "of" 
"HUM:ind" , "who" , "is" , "the" 
"HUM:ind" , "who" , "starred" , "in" 
"HUM:ind" , "what" , "painter" , "died" 
"LOC:country" , "what" , "country" , "did" 
"NUM:count" , "how" , "many" , "species" 
"LOC:state" , "what" , "is" , "the" 
"NUM:count" , "how" , "many" , "villi" 
"LOC:country" , "what" , "country" , "did" 
"HUM:ind" , "who" , "were" , "the" 
"NUM:date" , "in" , "which" , "year" 
"NUM:date" , "when" , "did" , "cnn" 
"NUM:date" , "when" , "did" , "rococo" 
"LOC:country" , "what" , "country" , "national" 
"HUM:ind" , "which" , "of" , "the" 
"HUM:ind" , "who" , "comprised" , "the" 
"LOC:state" , "what" , "state" , "is" 
"LOC:mount" , "where" , "is" , "the" 
"LOC:other" , "where" , "does" , "barney" 
"LOC:other" , "what" , "are" , "the" 
"LOC:other" , "where" , "on" , "the" 
"NUM:money" , "how" , "much" , "money" 
"LOC:other" , "where" , "can" , "i" 
"NUM:period" , "how" , "long" , "does" 
"HUM:ind" , "what" , "crooner" , "joined" 
"NUM:date" , "when" , "did" , "the" 
"NUM:money" , "how" , "much" , "would" 
"HUM:ind" , "what" , "actress" , "has" 
"NUM:count" , "how" , "many" , "years" 
"LOC:other" , "where" , "is" , "the" 
"LOC:city" , "what" , "city" , "boasts" 
"NUM:count" , "how" , "many" , "hostages" 
"HUM:ind" , "who" , "earns" , "their" 
"HUM:ind" , "who" , "founded" , "the" 
"HUM:ind" , "what" , "athlete" , "makes" 
"NUM:count" , "how" , "many" , "bends" 
"HUM:ind" , "who" , "discovered" , "electricity" 
"HUM:ind" , "who" , "was" , "the" 
"LOC:country" , "what" , "two" , "south" 
"NUM:date" , "what" , "is" , "the" 
"LOC:other" , "where" , "is" , "the" 
"HUM:ind" , "who" , "is" , "the" 
"LOC:other" , "what" , "wide" , "valley" 
"NUM:date" , "in" , "what" , "year" 
"NUM:count" , "how" , "many" , "months" 
"LOC:other" , "where" , "are" , "the" 
"NUM:date" , "in" , "what" , "year" 
"HUM:ind" , "who" , "sings" , "the" 
"HUM:ind" , "who" , "directed" , "jaws" 
"NUM:count" , "how" , "many" , "colonies" 
"LOC:city" , "what" , "is" , "the" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "what" , "is" , "the" 
"NUM:date" , "what" , "are" , "the" 
"LOC:country" , "what" , "country" , "contains" 
"LOC:other" , "where" , "is" , "the" 
"LOC:city" , "what" , "city" , "is" 
"HUM:ind" , "who" , "created" , "dennis" 
"HUM:ind" , "what" , "dummy" , "received" 
"NUM:date" , "when" , "was" , "the" 
"LOC:country" , "what" , "countries" , "have" 
"HUM:ind" , "name" , "alvin" , "brothers" 
"NUM:date" , "when" , "did" , "the" 
"HUM:ind" , "what" , "actor" , "said" 
"HUM:ind" , "what" , "explorer" , "was" 
"NUM:date" , "cnn" , "began" , "broadcasting" 
"LOC:city" , "what" , "south" , "american" 
"NUM:count" , "how" , "many" , "species" 
"NUM:count" , "how" , "many" , "people" 
"NUM:volsize" , "what" , "is" , "the" 
"NUM:date" , "when" , "did" , "beethoven" 
"NUM:money" , "how" , "much" , "does" 
"LOC:country" , "what" , "two" , "european" 
"HUM:ind" , "what" , "russian" , "composer" 
"HUM:ind" , "who" , "was" , "the" 
"NUM:count" , "how" , "many" , "revolutions" 
"LOC:mount" , "what" , "is" , "the" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "what" , "was" , "the" 
"NUM:count" , "how" , "many" , "south" 
"LOC:other" , "where" , "was" , "george" 
"NUM:count" , "how" , "many" , "people" 
"HUM:ind" , "who" , "wrote" , "nn" 
"NUM:date" , "when" , "was" , "the" 
"HUM:ind" , "what" , "diminutive" , "american" 
"NUM:date" , "when" , "did" , "the" 
"LOC:other" , "what" , "las" , "vegas" 
"NUM:date" , "when" , "did" , "mount" 
"NUM:date" , "when" , "did" , "world" 
"NUM:count" , "how" , "many" , "feet" 
"LOC:city" , "what" , "european" , "city" 
"HUM:ind" , "who" , "was" , "president" 
"HUM:ind" , "who" , "was" , "the" 
"HUM:ind" , "who" , "was" , "the" 
"HUM:ind" , "who" , "are" , "the" 
"NUM:date" , "when" , "is" , "boxing" 
"NUM:date" , "when" , "was" , "the" 
"NUM:count" , "how" , "many" , "people" 
"NUM:date" , "when" , "did" , "spielberg" 
"NUM:volsize" , "what" , "is" , "the" 
"LOC:city" , "what" , "is" , "california" 
"HUM:ind" , "who" , "was" , "the" 
"HUM:ind" , "who" , "was" , "the" 
"LOC:country" , "what" , "european" , "country" 
"LOC:other" , "where" , "was" , "christopher" 
"LOC:other" , "what" , "sea" , "did" 
"LOC:city" , "what" , "city" , "did" 
"HUM:ind" , "which" , "doonesbury" , "character" 
"LOC:other" , "what" , "stadium" , "do" 
"HUM:ind" , "who" , "has" , "the" 
"NUM:other" , "what" , "was" , "einstein" 
"NUM:date" , "what" , "day" , "was" 
"HUM:ind" , "what" , "girl" , "name" 
"LOC:state" , "what" , "state" , "is" 
"LOC:state" , "what" , "state" , "has" 
"NUM:count" , "how" , "many" , "years" 
"LOC:other" , "what" , "is" , "the" 
