@relation answerExp6
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FourthWord STRING
@data
"HUM:ind" , "what" , "contemptible" , "scoundrel" , "steal" 
"HUM:ind" , "name" , "the" , "bounty" , "hunter" 
"NUM:date" , "when" , "be" , "ozzy" , "osbourne" 
"HUM:ind" , "who" , "be" , "the" , "pride" 
"LOC:state" , "what" , "sprawl" , "state" , "boast" 
"NUM:count" , "how" , "many" , "jew" , "be" 
"NUM:date" , "what" , "be" , "the" , "date" 
"HUM:ind" , "who" , "be" , "the" , "inventor" 
"LOC:other" , "what" , "be" , "the" , "high" 
"LOC:state" , "which" , "two" , "state" , "enclose" 
"NUM:count" , "how" , "many" , "point" , "make" 
"NUM:count" , "how" , "many" , "community" , "chest" 
"NUM:date" , "when" , "do" , "the" , "neanderthal" 
"LOC:other" , "where" , "do" , "the" , "adventure" 
"NUM:count" , "how" , "many" , "people" , "in" 
"NUM:count" , "how" , "many" , "inch" , "over" 
"HUM:ind" , "what" , "cowboy" , "star" , "rode" 
"LOC:country" , "what" , "country" , "do" , "the" 
"HUM:ind" , "who" , "be" , "the" , "prophet" 
"LOC:state" , "what" , "state" , "live" , "under" 
"LOC:other" , "where" , "be" , "the" , "loop" 
"LOC:country" , "what" , "country" , "capital" , "be" 
"HUM:ind" , "who" , "do" , "herb" , "and" 
"LOC:city" , "which" , "city" , "have" , "the" 
"LOC:other" , "what" , "be" , "the" , "name" 
"LOC:other" , "what" , "body" , "of" , "water" 
"HUM:ind" , "who" , "be" , "the" , "founder" 
"HUM:ind" , "who" , "star" , "in" , "singing" 
"HUM:ind" , "what" , "painter" , "die" , "in" 
"LOC:country" , "what" , "country" , "do" , "the" 
"NUM:count" , "how" , "many" , "specie" , "of" 
"LOC:state" , "what" , "be" , "the" , "nickname" 
"NUM:count" , "how" , "many" , "villus" , "be" 
"LOC:country" , "what" , "country" , "do" , "king" 
"HUM:ind" , "who" , "be" , "the" , "five" 
"NUM:date" , "in" , "which" , "year" , "be" 
"NUM:date" , "when" , "do" , "cnn" , "begin" 
"NUM:date" , "when" , "do" , "rococo" , "painting" 
"LOC:country" , "what" , "country" , "national" , "passenger" 
"HUM:ind" , "which" , "of" , "the" , "following" 
"HUM:ind" , "who" , "comprise" , "the" , "comic" 
"LOC:state" , "what" , "state" , "be" , "fort" 
