@relation answerExp8
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FirstAndSecond STRING
@attribute SecondAndThird STRING
@attribute FirstAndThird STRING
@data
"HUM:ind" , "what" , "contemptible" , "scoundrel" , "what contemptible" , "contemptible scoundrel" , "what scoundrel" 
"HUM:ind" , "name" , "the" , "bounty" , "name the" , "the bounty" , "name bounty" 
"NUM:date" , "when" , "be" , "ozzy" , "when be" , "be ozzy" , "when ozzy" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "kill" , "gandhi" , "who kill" , "kill gandhi" , "who gandhi" 
"LOC:state" , "what" , "sprawl" , "state" , "what sprawl" , "sprawl state" , "what state" 
"NUM:count" , "how" , "many" , "jew" , "how many" , "many jew" , "how jew" 
"NUM:date" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"HUM:ind" , "name" , "famous" , "martyr" , "name famous" , "famous martyr" , "name martyr" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
"LOC:state" , "which" , "two" , "state" , "which two" , "two state" , "which state" 
"NUM:count" , "how" , "many" , "point" , "how many" , "many point" , "how point" 
"NUM:count" , "how" , "many" , "community" , "how many" , "many community" , "how community" 
"NUM:date" , "when" , "do" , "the" , "when do" , "do the" , "when the" 
"LOC:other" , "where" , "do" , "the" , "where do" , "do the" , "where the" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"NUM:count" , "how" , "many" , "inch" , "how many" , "many inch" , "how inch" 
"HUM:ind" , "what" , "cowboy" , "star" , "what cowboy" , "cowboy star" , "what star" 
"LOC:country" , "what" , "country" , "do" , "what country" , "country do" , "what do" 
"HUM:ind" , "who" , "be" , "the" , "who be" , "be the" , "who the" 
"HUM:ind" , "who" , "be" , "snoopy" , "who be" , "be snoopy" , "who snoopy" 
"LOC:state" , "what" , "state" , "live" , "what state" , "state live" , "what live" 
"LOC:other" , "where" , "be" , "the" , "where be" , "be the" , "where the" 
"LOC:country" , "what" , "country" , "capital" , "what country" , "country capital" , "what capital" 
"HUM:ind" , "who" , "do" , "herb" , "who do" , "do herb" , "who herb" 
"LOC:city" , "which" , "city" , "have" , "which city" , "city have" , "which have" 
"LOC:other" , "what" , "be" , "the" , "what be" , "be the" , "what the" 
