@relation answerExp9
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FourthWord STRING
@attribute FirstAndSecond STRING
@attribute SecondAndThird STRING
@attribute FirstAndThird STRING
@attribute FirstAndFourth STRING
@attribute SecondAndFourth STRING
@attribute ThirdAndFourth STRING
@data
"HUM:ind" , "what" , "contemptible" , "scoundrel" , "stole" , "what contemptible" , "contemptible scoundrel" , "what scoundrel" , "what stole" , "contemptible stole" , "scoundrel stole" 
"HUM:ind" , "name" , "the" , "bounty" , "hunter" , "name the" , "the bounty" , "name bounty" , "name hunter" , "the hunter" , "bounty hunter" 
"NUM:date" , "when" , "was" , "ozzy" , "osbourne" , "when was" , "was ozzy" , "when ozzy" , "when osbourne" , "was osbourne" , "ozzy osbourne" 
"HUM:ind" , "who" , "was" , "the" , "pride" , "who was" , "was the" , "who the" , "who pride" , "was pride" , "the pride" 
"LOC:state" , "what" , "sprawling" , "state" , "boasts" , "what sprawling" , "sprawling state" , "what state" , "what boasts" , "sprawling boasts" , "state boasts" 
"NUM:count" , "how" , "many" , "jews" , "were" , "how many" , "many jews" , "how jews" , "how were" , "many were" , "jews were" 
"NUM:date" , "what" , "is" , "the" , "date" , "what is" , "is the" , "what the" , "what date" , "is date" , "the date" 
"HUM:ind" , "who" , "was" , "the" , "inventor" , "who was" , "was the" , "who the" , "who inventor" , "was inventor" , "the inventor" 
"LOC:other" , "what" , "is" , "the" , "highest" , "what is" , "is the" , "what the" , "what highest" , "is highest" , "the highest" 
"LOC:state" , "which" , "two" , "states" , "enclose" , "which two" , "two states" , "which states" , "which enclose" , "two enclose" , "states enclose" 
"NUM:count" , "how" , "many" , "points" , "make" , "how many" , "many points" , "how points" , "how make" , "many make" , "points make" 
"NUM:count" , "how" , "many" , "community" , "chest" , "how many" , "many community" , "how community" , "how chest" , "many chest" , "community chest" 
"NUM:date" , "when" , "did" , "the" , "neanderthal" , "when did" , "did the" , "when the" , "when neanderthal" , "did neanderthal" , "the neanderthal" 
"LOC:other" , "where" , "do" , "the" , "adventures" , "where do" , "do the" , "where the" , "where adventures" , "do adventures" , "the adventures" 
"NUM:count" , "how" , "many" , "people" , "in" , "how many" , "many people" , "how people" , "how in" , "many in" , "people in" 
"NUM:count" , "how" , "many" , "inches" , "over" , "how many" , "many inches" , "how inches" , "how over" , "many over" , "inches over" 
"HUM:ind" , "what" , "cowboy" , "star" , "rode" , "what cowboy" , "cowboy star" , "what star" , "what rode" , "cowboy rode" , "star rode" 
"LOC:country" , "what" , "country" , "do" , "the" , "what country" , "country do" , "what do" , "what the" , "country the" , "do the" 
"HUM:ind" , "who" , "was" , "the" , "prophet" , "who was" , "was the" , "who the" , "who prophet" , "was prophet" , "the prophet" 
"LOC:state" , "what" , "state" , "lived" , "under" , "what state" , "state lived" , "what lived" , "what under" , "state under" , "lived under" 
"LOC:other" , "where" , "is" , "the" , "loop" , "where is" , "is the" , "where the" , "where loop" , "is loop" , "the loop" 
"LOC:country" , "what" , "country" , "capital" , "is" , "what country" , "country capital" , "what capital" , "what is" , "country is" , "capital is" 
"HUM:ind" , "who" , "do" , "herb" , "and" , "who do" , "do herb" , "who herb" , "who and" , "do and" , "herb and" 
"LOC:city" , "which" , "city" , "has" , "the" , "which city" , "city has" , "which has" , "which the" , "city the" , "has the" 
"LOC:other" , "what" , "are" , "the" , "names" , "what are" , "are the" , "what the" , "what names" , "are names" , "the names" 
"LOC:other" , "what" , "body" , "of" , "water" , "what body" , "body of" , "what of" , "what water" , "body water" , "of water" 
"HUM:ind" , "who" , "is" , "the" , "founder" , "who is" , "is the" , "who the" , "who founder" , "is founder" , "the founder" 
"HUM:ind" , "who" , "starred" , "in" , "singing" , "who starred" , "starred in" , "who in" , "who singing" , "starred singing" , "in singing" 
"HUM:ind" , "what" , "painter" , "died" , "in" , "what painter" , "painter died" , "what died" , "what in" , "painter in" , "died in" 
"LOC:country" , "what" , "country" , "did" , "the" , "what country" , "country did" , "what did" , "what the" , "country the" , "did the" 
"NUM:count" , "how" , "many" , "species" , "of" , "how many" , "many species" , "how species" , "how of" , "many of" , "species of" 
"LOC:state" , "what" , "is" , "the" , "nickname" , "what is" , "is the" , "what the" , "what nickname" , "is nickname" , "the nickname" 
"NUM:count" , "how" , "many" , "villi" , "are" , "how many" , "many villi" , "how villi" , "how are" , "many are" , "villi are" 
"LOC:country" , "what" , "country" , "did" , "king" , "what country" , "country did" , "what did" , "what king" , "country king" , "did king" 
